Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint leftWrist,[866.11203894 846.01108654]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint rightWrist,[784.4872297  159.46835858]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint leftHip,[831.31903699 663.2259267 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint rightHip,[867.02673059 478.03381117]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint leftKnee,[1130.1076608   687.98805528]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint rightKnee,[1157.55462726  504.27891528]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint leftAnkle,[1435.72905398  701.96760524]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_039.jpg,Pose #0,Keypoint rightAnkle,[1408.8981607   511.07504806]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint nose,[318.83729965 598.16697931]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftEye,[295.21908666 626.11762531]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightEye,[295.70815079 565.46806204]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftEar,[324.42421162 656.86746899]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightEar,[327.53694549 523.17956048]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftShoulder,[484.37232078 712.87127545]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightShoulder,[493.67886116 466.55062303]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftElbow,[710.60595837 800.96711691]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightElbow,[710.537117   341.85343299]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftWrist,[882.44809883 884.44656095]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightWrist,[874.7149744 183.0379501]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftHip,[873.30974049 678.79599506]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightHip,[884.01448795 495.84914268]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftKnee,[1170.5142509   685.75179069]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightKnee,[1200.10053358  497.16769955]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint leftAnkle,[1449.2410747   708.98774509]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_040.jpg,Pose #0,Keypoint rightAnkle,[1463.98567641  499.88278498]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint nose,[344.12966044 612.91772407]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftEye,[321.97552841 641.6352926 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightEye,[325.06128711 579.78189291]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftEar,[346.20908992 673.84272891]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightEar,[362.87681472 544.73869823]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftShoulder,[497.80566762 730.37567629]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightShoulder,[515.06020208 500.22939588]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftElbow,[715.28803478 821.41595512]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightElbow,[752.71656575 404.33239051]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftWrist,[887.33796421 919.03675396]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightWrist,[935.1963521  259.78014232]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftHip,[893.69070026 699.08197686]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightHip,[931.84157396 535.61588394]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftKnee,[1188.13302512  712.09372525]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightKnee,[1241.68855904  524.55357702]
